"Group","Source","Target","Weight","Correlation","Direction"
"PRE","OTU_189","OTU_262",1,1,"Positive"
"PRE","OTU_189","OTU_504",1,1,"Positive"
"PRE","OTU_189","OTU_506",1,1,"Positive"
"PRE","OTU_262","OTU_504",1,1,"Positive"
"PRE","OTU_262","OTU_506",1,1,"Positive"
"PRE","OTU_504","OTU_506",1,1,"Positive"
"PRE","OTU_576","OTU_62",1,1,"Positive"
"Control","OTU_124","OTU_40",1,1,"Positive"
"Control","OTU_124","OTU_552",1,1,"Positive"
"Control","OTU_332","OTU_412",1,1,"Positive"
"Control","OTU_40","OTU_552",1,1,"Positive"
"sediment","OTU_412","OTU_582",1,1,"Positive"
"sediment","OTU_412","OTU_62",1,1,"Positive"
"sediment","OTU_412","OTU_620",1,1,"Positive"
"sediment","OTU_582","OTU_62",1,1,"Positive"
"sediment","OTU_582","OTU_620",1,1,"Positive"
"sediment","OTU_62","OTU_620",1,1,"Positive"
